               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11333,            0.036927,            0.027862,           0.0044376,             0.47535,             0.01664,           0.0045481,            0.092816,            0.029289,            0.023086,              0.0856,              0.0016,              0.0016
                   1,             0.08928,             0.04219,            0.020109,             0.82882,             0.23961,             0.27985,            0.082117,            0.075385,            0.026824,            0.013941,            0.070235,           0.0032347,           0.0032347
                   2,            0.076825,            0.035243,            0.013315,             0.14853,             0.33241,              0.2243,            0.079792,            0.079523,            0.019588,           0.0069236,            0.054802,            0.004802,            0.004802
                   3,            0.075672,            0.026979,           0.0092707,             0.31847,             0.59258,             0.31961,             0.10108,            0.071557,            0.017903,           0.0052125,            0.039302,            0.006302,            0.006302
                   4,            0.075671,            0.024255,           0.0077963,             0.30984,             0.64315,             0.36278,              0.1062,            0.075602,            0.014419,           0.0043114,            0.023735,           0.0077347,           0.0077347
                   5,            0.076077,            0.025668,           0.0074624,             0.20967,             0.46028,             0.30118,            0.088803,            0.083472,            0.012853,           0.0041216,             0.00901,             0.00901,             0.00901
                   6,            0.073382,            0.021645,           0.0067814,             0.39953,             0.53748,               0.472,             0.20628,            0.084468,             0.01184,           0.0035706,             0.00901,             0.00901,             0.00901
                   7,            0.067987,            0.021179,            0.006335,             0.44296,             0.75144,             0.51344,             0.16018,            0.063279,            0.013315,           0.0040459,            0.008812,            0.008812,            0.008812
                   8,            0.065558,            0.020832,           0.0070345,             0.49438,             0.78184,             0.61921,             0.26876,            0.053329,            0.013473,            0.003198,            0.008614,            0.008614,            0.008614
                   9,            0.059124,            0.021485,           0.0057934,             0.58022,             0.83093,             0.67801,             0.31421,            0.048591,            0.012768,           0.0032405,            0.008416,            0.008416,            0.008416
                  10,            0.058672,            0.019666,           0.0055262,             0.60876,             0.85345,             0.71098,              0.2626,            0.052717,            0.012238,           0.0028718,            0.008218,            0.008218,            0.008218
                  11,            0.055452,            0.019334,           0.0055549,             0.61292,             0.86584,             0.66496,              0.3184,              0.0528,            0.012115,           0.0027391,             0.00802,             0.00802,             0.00802
                  12,             0.05186,            0.017956,           0.0051378,             0.73426,             0.87371,             0.81814,             0.34757,            0.047617,            0.011556,           0.0027302,            0.007822,            0.007822,            0.007822
                  13,            0.051229,            0.020586,           0.0055451,             0.72644,             0.91636,             0.79453,             0.40093,            0.044189,            0.011205,           0.0025176,            0.007624,            0.007624,            0.007624
                  14,            0.048689,            0.020241,           0.0044768,             0.85337,             0.93348,             0.89276,             0.43082,            0.041967,            0.011142,           0.0026076,            0.007426,            0.007426,            0.007426
                  15,            0.048147,            0.019331,           0.0047008,             0.74973,              0.8744,             0.86038,             0.46651,            0.041582,            0.010589,           0.0024673,            0.007228,            0.007228,            0.007228
                  16,            0.046521,             0.01906,           0.0047306,             0.92936,             0.94694,             0.94889,             0.46835,            0.040356,            0.010765,           0.0025228,             0.00703,             0.00703,             0.00703
                  17,            0.045847,            0.018292,           0.0047753,             0.93087,             0.95483,              0.9534,             0.50284,            0.038002,            0.010751,           0.0024989,            0.006832,            0.006832,            0.006832
                  18,            0.045916,            0.017909,           0.0044353,             0.76199,             0.89801,             0.82527,             0.43655,            0.042782,            0.010676,           0.0024038,            0.006634,            0.006634,            0.006634
                  19,            0.044584,            0.016936,           0.0047669,              0.8433,             0.95058,             0.92269,             0.49767,            0.038257,            0.010795,           0.0023605,            0.006436,            0.006436,            0.006436
                  20,            0.042329,            0.018144,           0.0042359,             0.94031,             0.96336,             0.96247,             0.53421,            0.035761,            0.010416,           0.0022392,            0.006238,            0.006238,            0.006238
                  21,            0.042374,            0.016611,           0.0041305,             0.93677,             0.95643,             0.95849,             0.51455,             0.03731,            0.010245,           0.0021044,             0.00604,             0.00604,             0.00604
                  22,            0.041236,            0.017429,           0.0041711,             0.87687,             0.92901,             0.91865,             0.48252,            0.040165,             0.01021,           0.0021195,            0.005842,            0.005842,            0.005842
                  23,            0.042528,            0.016611,           0.0042413,             0.94369,             0.96354,               0.959,             0.52371,            0.035178,            0.010127,           0.0022209,            0.005644,            0.005644,            0.005644
                  24,            0.040562,            0.016981,           0.0038285,             0.95405,              0.9711,             0.96942,             0.54785,            0.034786,            0.010056,           0.0021349,            0.005446,            0.005446,            0.005446
                  25,            0.040457,            0.016152,           0.0036991,             0.94864,             0.97601,             0.97925,             0.57066,            0.033873,           0.0099528,           0.0020497,            0.005248,            0.005248,            0.005248
                  26,            0.038715,            0.016047,           0.0039521,             0.95741,             0.98138,             0.98177,             0.58326,            0.032817,           0.0099841,            0.001961,             0.00505,             0.00505,             0.00505
                  27,            0.039499,            0.016227,           0.0039948,             0.95365,             0.97862,             0.98037,             0.57612,            0.031941,           0.0099871,           0.0019177,            0.004852,            0.004852,            0.004852
                  28,            0.038465,             0.01628,           0.0036933,             0.95744,               0.977,             0.97388,               0.571,            0.032829,           0.0098309,           0.0018655,            0.004654,            0.004654,            0.004654
